freq MHz (clk),library,cell count,net um2,total um2,gates total um2 equivalent,timing slack ps,Start point,End point,Simulation Time (ns),leakage (W),total (W),dynamic (W),lp_computed_toggle_rate sum_o[7],lp_computed_probability sum_o[7],lp_computed_toggle_rate a_i[1],lp_computed_probability a_i[1]
450,worst,4435,5420.039,20680.421,20156.356,-463,i_mul_24/count_reg[1]/CK,i_mul_24/prod2_reg[3][0][22]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
475,worst,4258,5183.302,20330.824,19815.618,-612,i_mul_24/count_reg[1]/CK,i_mul_24/prod2_reg[3][0][22]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
500,worst,4333,5318.205,21163.749,20627.436,-675,i_mul_24/count_reg[1]/CK,i_mul_24/prod2_reg[3][1][17]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
525,worst,4744,5741.200,23310.766,22720.045,-670,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][0][21]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
550,worst,4701,5672.019,23395.143,22802.283,-790,i_mul_24/count_reg[0]/CK,i_mul_24/sum_reg[2][15]/D0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
575,worst,4757,5695.111,23817.349,23213.790,-815,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[2][2][15]/D1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
600,worst,4731,5690.854,23869.522,23264.641,-925,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][3][8]/D1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
625,worst,4858,5820.493,24296.701,23680.995,-985,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][1][15]/D1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
650,worst,4738,5615.457,23288.649,22698.489,-1151,i_mul_24/count_reg[1]/CK,i_mul_24/prod2_reg[3][2][15]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
675,worst,4681,5625.093,23548.287,22951.547,-1160,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][1][15]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
700,worst,4716,5618.023,23591.833,22993.989,-1198,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][2][16]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
725,worst,4824,5716.816,24313.408,23697.278,-1251,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][3][9]/D1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
750,worst,4830,5751.216,24176.808,23564.141,-1314,i_mul_24/count_reg[1]/CK,i_mul_24/sum_reg[3][23]/D1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
775,worst,4782,5695.567,24194.689,23581.568,-1359,i_mul_24/count_reg[0]/CK,i_mul_24/prod2_reg[3][2][15]/D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
